Компонент Модуль  Версія Сума,MGA-01900-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01900-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00400-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00400-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01100-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01100-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01200-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01200-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01600-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01600-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02900-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00700-EIP-AB_UA-BEI_C000 kWh  2.*,MGA-00700-EIP-BB_UA-BEI_C000 kWh  2.*,MGA-02400-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02400-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01400-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01400-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00300-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00300-EIP-B_UA-IPS_C000 kWh  2.*,MGA-03000-EIP-A_UA-IPS_C000 kWh  2.*,MGA-03000-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02900-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02500-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02500-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01800-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01800-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01000-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01000-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02700-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02700-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00100-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00100-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00000-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00000-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02200-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02200-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02100-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02100-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01500-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01500-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00500-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00500-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00801-EIP-AB_UA-BEI_C000 kWh  2.*,MGA-00801-EIP-BB_UA-BEI_C000 kWh  2.*,MGA-00800-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00800-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02600-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02600-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02901-EIP-BB_UA-BEI_C000 kWh  2.*,MGA-00600-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00600-EIP-B_UA-IPS_C000 kWh  2.*,MGA-03300-EIP-B_UA-IPS_C000 kWh  2.*,MGA-03300-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00901-EIP-AB_UA-BEI_C000 kWh  2.*,MGA-00901-EIP-BB_UA-BEI_C000 kWh  2.*,MGA-00900-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00900-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02300-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02300-EIP-B_UA-IPS_C000 kWh  2.*,MGA-03400-EIP-A_UA-IPS_C000 kWh  2.*,MGA-03400-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02000-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02000-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02800-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02800-EIP-B_UA-IPS_C000 kWh  2.*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.03.2022 17:00 - 18:00,f,f,153,0,327,0,0,0,136,0,4,0,425,0,0,0,45,0,7,0,f,f,0,0,277,0,0,0,0,0,0,0,0,0,0,0,219,0,16,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,536,0,0,0,261,0,0,0,252,0,0,0,105,0,0,0,143,0,0,0,0,0,0,0,51,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
08.03.2022 18:00 - 19:00,f,f,149,0,335,0,0,0,81,0,4,0,419,0,0,0,46,0,8,0,f,f,0,0,286,0,0,0,0,0,0,0,0,0,0,0,225,0,16,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,554,0,0,0,274,0,0,0,234,0,0,0,110,0,0,0,150,0,0,0,0,0,0,0,51,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
08.03.2022 19:00 - 20:00,f,f,153,0,323,0,0,0,77,0,3,0,403,0,0,0,45,0,8,0,f,f,0,0,283,0,0,0,0,0,0,0,0,0,0,0,224,0,16,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,553,0,0,0,273,0,0,0,212,0,0,0,105,0,0,0,147,0,0,0,0,0,0,0,50,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
08.03.2022 20:00 - 21:00,f,f,148,0,307,0,0,0,77,0,4,0,389,0,0,0,41,0,6,0,f,f,0,0,271,0,0,0,0,0,0,0,0,0,0,0,218,0,16,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,536,0,0,0,256,0,0,0,226,0,0,0,104,0,0,0,139,0,0,0,0,0,0,0,48,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
08.03.2022 21:00 - 22:00,f,f,152,0,292,0,0,0,70,0,3,0,365,0,0,0,39,0,8,0,f,f,0,0,259,0,0,0,0,0,0,0,0,0,0,0,210,0,12,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,508,0,0,0,241,0,0,0,225,0,0,0,99,0,0,0,132,0,0,0,0,0,0,0,45,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
08.03.2022 22:00 - 23:00,f,f,147,0,275,0,0,0,73,0,3,0,339,0,0,0,37,0,8,0,f,f,0,0,240,0,0,0,0,0,0,0,0,0,0,0,203,0,14,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,479,0,0,0,219,0,0,0,215,0,0,0,91,0,0,0,123,0,0,0,0,0,0,0,42,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
08.03.2022 23:00 - 24:00,f,f,154,0,266,0,0,0,68,0,4,0,321,0,0,0,33,0,7,0,f,f,0,0,228,0,0,0,0,0,0,0,0,0,0,0,197,0,16,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,457,0,0,0,205,0,0,0,214,0,0,0,89,0,0,0,119,0,0,0,0,0,0,0,40,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 00:00 - 01:00,f,f,133,0,261,0,0,0,66,0,4,0,304,0,0,0,30,0,6,0,f,f,0,0,212,0,0,0,0,0,0,0,0,0,0,0,189,0,14,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,423,0,0,0,182,0,0,0,211,0,0,0,87,0,0,0,112,0,0,0,0,0,0,0,37,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 01:00 - 02:00,f,f,147,0,254,0,0,0,64,0,4,0,294,0,0,0,28,0,6,0,f,f,0,0,202,0,0,0,0,0,0,0,0,0,0,0,182,0,12,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,399,0,0,0,173,0,0,0,207,0,0,0,85,0,0,0,113,0,0,0,0,0,0,0,36,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 02:00 - 03:00,f,f,151,0,252,0,0,0,68,0,4,0,288,0,0,0,27,0,6,0,f,f,0,0,197,0,0,0,0,0,0,0,0,0,0,0,178,0,12,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,387,0,0,0,165,0,0,0,212,0,0,0,84,0,0,0,106,0,0,0,0,0,0,0,34,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 03:00 - 04:00,f,f,151,0,249,0,0,0,70,0,3,0,288,0,0,0,28,0,5,0,f,f,0,0,190,0,0,0,0,0,0,0,0,0,0,0,177,0,12,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,382,0,0,0,165,0,0,0,209,0,0,0,84,0,0,0,107,0,0,0,0,0,0,0,35,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 04:00 - 05:00,f,f,148,0,252,0,0,0,64,0,4,0,290,0,0,0,28,0,6,0,f,f,0,0,195,0,0,0,0,0,0,0,0,0,0,0,176,0,12,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,385,0,0,0,170,0,0,0,205,0,0,0,83,0,0,0,109,0,0,0,0,0,0,0,35,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 05:00 - 06:00,f,f,149,0,270,0,0,0,67,0,3,0,316,0,0,0,30,0,6,0,f,f,0,0,205,0,0,0,0,0,0,0,0,0,0,0,179,0,12,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,400,0,0,0,175,0,0,0,211,0,0,0,85,0,0,0,114,0,0,0,0,0,0,0,37,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 06:00 - 07:00,f,f,139,0,291,0,0,0,71,0,3,0,367,0,0,0,34,0,6,0,f,f,0,0,235,0,0,0,0,0,0,0,0,0,0,0,184,0,14,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,444,0,0,0,200,0,0,0,281,0,0,0,93,0,0,0,130,0,0,0,0,0,0,0,43,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 07:00 - 08:00,f,f,144,0,304,0,0,0,88,0,3,0,405,0,0,0,42,0,6,0,f,f,0,0,252,0,0,0,0,0,0,0,0,0,0,0,197,0,16,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,485,0,0,0,224,0,0,0,303,0,0,0,99,0,0,0,135,0,0,0,0,0,0,0,48,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 08:00 - 09:00,f,f,174,0,335,0,0,0,375,0,3,0,435,0,0,0,46,0,6,0,f,f,0,0,280,0,0,0,0,0,0,0,0,0,0,0,210,0,18,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,542,0,0,0,255,0,0,0,376,0,0,0,108,0,0,0,147,0,0,0,0,0,0,0,51,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 09:00 - 10:00,f,f,200,0,342,0,0,0,519,0,4,0,445,0,0,0,49,0,6,0,f,f,0,0,299,0,0,0,0,0,0,0,0,0,0,0,222,0,18,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,577,0,0,0,273,0,0,0,394,0,0,0,116,0,0,0,152,0,0,0,0,0,0,0,52,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 10:00 - 11:00,f,f,211,0,340,0,0,0,455,0,4,0,439,0,0,0,47,0,7,0,f,f,0,0,305,0,0,0,0,0,0,0,0,0,0,0,227,0,18,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,592,0,0,0,282,0,0,0,368,0,0,0,114,0,0,0,157,0,0,0,0,0,0,0,52,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 11:00 - 12:00,f,f,187,0,344,0,0,0,430,0,3,0,437,0,0,0,46,0,6,0,f,f,0,0,303,0,0,0,0,0,0,0,0,0,0,0,229,0,18,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,593,0,0,0,284,0,0,0,348,0,0,0,111,0,0,0,153,0,0,0,0,0,0,0,51,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 12:00 - 13:00,f,f,178,0,337,0,0,0,427,0,3,0,431,0,0,0,44,0,6,0,f,f,0,0,304,0,0,0,0,0,0,0,0,0,0,0,227,0,20,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,582,0,0,0,280,0,0,0,344,0,0,0,106,0,0,0,150,0,0,0,0,0,0,0,52,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 13:00 - 14:00,f,f,171,0,340,0,0,0,488,0,4,0,429,0,0,0,45,0,6,0,f,f,0,0,300,0,0,0,0,0,0,0,0,0,0,0,225,0,20,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,580,0,0,0,276,0,0,0,314,0,0,0,107,0,0,0,148,0,0,0,0,0,0,0,52,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 14:00 - 15:00,f,f,160,0,335,0,0,0,490,0,3,0,421,0,0,0,45,0,6,0,f,f,0,0,294,0,0,0,0,0,0,0,0,0,0,0,226,0,19,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,569,0,0,0,272,0,0,0,353,0,0,0,104,0,0,0,148,0,0,0,0,0,0,0,51,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 15:00 - 16:00,f,f,155,0,330,0,0,0,343,0,4,0,423,0,0,0,45,0,6,0,f,f,0,0,289,0,0,0,0,0,0,0,0,0,0,0,220,0,18,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,566,0,0,0,267,0,0,0,381,0,0,0,104,0,0,0,149,0,0,0,0,0,0,0,51,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 16:00 - 17:00,f,f,154,0,330,0,0,0,187,0,4,0,425,0,0,0,44,0,6,0,f,f,0,0,283,0,0,0,0,0,0,0,0,0,0,0,223,0,16,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,555,0,0,0,266,0,0,0,416,0,0,0,104,0,0,0,144,0,0,0,0,0,0,0,52,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 17:00 - 18:00,f,f,154,0,342,0,0,0,148,0,3,0,437,0,0,0,47,0,5,0,f,f,0,0,294,0,0,0,0,0,0,0,0,0,0,0,226,0,16,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,574,0,0,0,273,0,0,0,377,0,0,0,106,0,0,0,151,0,0,0,0,0,0,0,53,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 18:00 - 19:00,f,f,157,0,350,0,0,0,89,0,4,0,433,0,0,0,45,0,6,0,f,f,0,0,304,0,0,0,0,0,0,0,0,0,0,0,229,0,18,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,588,0,0,0,284,0,0,0,342,0,0,0,109,0,0,0,157,0,0,0,0,0,0,0,54,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 19:00 - 20:00,f,f,160,0,339,0,0,0,83,0,3,0,421,0,0,0,43,0,6,0,f,f,0,0,297,0,0,0,0,0,0,0,0,0,0,0,228,0,18,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,574,0,0,0,279,0,0,0,349,0,0,0,107,0,0,0,152,0,0,0,0,0,0,0,52,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 20:00 - 21:00,f,f,165,0,328,0,0,0,77,0,4,0,399,0,0,0,42,0,5,0,f,f,0,0,284,0,0,0,0,0,0,0,0,0,0,0,224,0,16,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,552,0,0,0,265,0,0,0,343,0,0,0,103,0,0,0,145,0,0,0,0,0,0,0,50,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 21:00 - 22:00,f,f,168,0,311,0,0,0,75,0,3,0,379,0,0,0,40,0,6,0,f,f,0,0,271,0,0,0,0,0,0,0,0,0,0,0,216,0,14,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,534,0,0,0,243,0,0,0,325,0,0,0,98,0,0,0,136,0,0,0,0,0,0,0,47,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 22:00 - 23:00,f,f,165,0,290,0,0,0,74,0,3,0,353,0,0,0,37,0,6,0,f,f,0,0,251,0,0,0,0,0,0,0,0,0,0,0,208,0,12,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,495,0,0,0,220,0,0,0,302,0,0,0,93,0,0,0,127,0,0,0,0,0,0,0,43,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
09.03.2022 23:00 - 24:00,f,f,154,0,286,0,0,0,69,0,4,0,333,0,0,0,33,0,5,0,f,f,0,0,245,0,0,0,0,0,0,0,0,0,0,0,201,0,14,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,478,0,0,0,205,0,0,0,309,0,0,0,90,0,0,0,121,0,0,0,0,0,0,0,42,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 00:00 - 01:00,f,f,185,0,269,0,0,0,71,0,4,0,315,0,0,0,30,0,6,0,f,f,0,0,224,0,0,0,0,0,0,0,0,0,0,0,193,0,14,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,432,0,0,0,189,0,0,0,273,0,0,0,87,0,0,0,119,0,0,0,0,0,0,0,39,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 01:00 - 02:00,f,f,179,0,263,0,0,0,70,0,4,0,309,0,0,0,28,0,6,0,f,f,0,0,212,0,0,0,0,0,0,0,0,0,0,0,185,0,12,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,411,0,0,0,180,0,0,0,293,0,0,0,85,0,0,0,113,0,0,0,0,0,0,0,37,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 02:00 - 03:00,f,f,181,0,256,0,0,0,72,0,4,0,304,0,0,0,28,0,6,0,f,f,0,0,204,0,0,0,0,0,0,0,0,0,0,0,182,0,12,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,399,0,0,0,174,0,0,0,298,0,0,0,83,0,0,0,112,0,0,0,0,0,0,0,36,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 03:00 - 04:00,f,f,173,0,255,0,0,0,71,0,3,0,304,0,0,0,28,0,5,0,f,f,0,0,204,0,0,0,0,0,0,0,0,0,0,0,180,0,12,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,394,0,0,0,177,0,0,0,294,0,0,0,83,0,0,0,110,0,0,0,0,0,0,0,36,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 04:00 - 05:00,f,f,159,0,261,0,0,0,71,0,4,0,309,0,0,0,29,0,6,0,f,f,0,0,205,0,0,0,0,0,0,0,0,0,0,0,180,0,10,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,398,0,0,0,175,0,0,0,308,0,0,0,84,0,0,0,112,0,0,0,0,0,0,0,36,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 05:00 - 06:00,f,f,153,0,270,0,0,0,71,0,4,0,333,0,0,0,29,0,6,0,f,f,0,0,220,0,0,0,0,0,0,0,0,0,0,0,184,0,12,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,411,0,0,0,184,0,0,0,326,0,0,0,85,0,0,0,120,0,0,0,0,0,0,0,39,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 06:00 - 07:00,f,f,149,0,306,0,0,0,73,0,4,0,407,0,0,0,34,0,6,0,f,f,0,0,244,0,0,0,0,0,0,0,0,0,0,0,189,0,14,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,458,0,0,0,211,0,0,0,336,0,0,0,92,0,0,0,133,0,0,0,0,0,0,0,45,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 07:00 - 08:00,f,f,160,0,321,0,0,0,96,0,3,0,389,0,0,0,42,0,7,0,f,f,0,0,270,0,0,0,0,0,0,0,0,0,0,0,201,0,16,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,505,0,0,0,232,0,0,0,306,0,0,0,99,0,0,0,143,0,0,0,0,0,0,0,50,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 08:00 - 09:00,f,f,200,0,348,0,0,0,240,0,3,0,449,0,0,0,47,0,6,0,f,f,0,0,293,0,0,0,0,0,0,0,0,0,0,0,216,0,18,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,563,0,0,0,265,0,0,0,308,0,0,0,109,0,0,0,154,0,0,0,0,0,0,0,54,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 09:00 - 10:00,f,f,238,0,355,0,0,0,482,0,4,0,443,0,0,0,49,0,6,0,f,f,0,0,316,0,0,0,0,0,0,0,0,0,0,0,229,0,20,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,602,0,0,0,286,0,0,0,260,0,0,0,115,0,0,0,161,0,0,0,0,0,0,0,55,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 10:00 - 11:00,f,f,239,0,361,0,0,0,524,0,4,0,437,0,0,0,49,0,6,0,f,f,0,0,318,0,0,0,0,0,0,0,0,0,0,0,234,0,22,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,609,0,0,0,292,0,0,0,264,0,0,0,115,0,0,0,159,0,0,0,0,0,0,0,56,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 11:00 - 12:00,f,f,213,0,358,0,0,0,415,0,4,0,431,0,0,0,49,0,6,0,f,f,0,0,319,0,0,0,0,0,0,0,0,0,0,0,233,0,20,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,603,0,0,0,295,0,0,0,264,0,0,0,114,0,0,0,160,0,0,0,0,0,0,0,56,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 12:00 - 13:00,f,f,228,0,353,0,0,0,424,0,3,0,429,0,0,0,48,0,6,0,f,f,0,0,316,0,0,0,0,0,0,0,0,0,0,0,233,0,20,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,598,0,0,0,295,0,0,0,260,0,0,0,110,0,0,0,157,0,0,0,0,0,0,0,55,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 13:00 - 14:00,f,f,231,0,353,0,0,0,450,0,4,0,421,0,0,0,45,0,6,0,f,f,0,0,311,0,0,0,0,0,0,0,0,0,0,0,230,0,22,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,591,0,0,0,289,0,0,0,259,0,0,0,109,0,0,0,155,0,0,0,0,0,0,0,54,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 14:00 - 15:00,f,f,190,0,349,0,0,0,427,0,4,0,423,0,0,0,44,0,7,0,f,f,0,0,306,0,0,0,0,0,0,0,0,0,0,0,229,0,18,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,584,0,0,0,284,0,0,0,277,0,0,0,107,0,0,0,152,0,0,0,0,0,0,0,53,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 15:00 - 16:00,f,f,192,0,350,0,0,0,280,0,4,0,425,0,0,0,42,0,7,0,f,f,0,0,303,0,0,0,0,0,0,0,0,0,0,0,226,0,18,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,573,0,0,0,277,0,0,0,272,0,0,0,107,0,0,0,149,0,0,0,0,0,0,0,54,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 16:00 - 17:00,f,f,185,0,355,0,0,0,183,0,4,0,429,0,0,0,42,0,7,0,f,f,0,0,302,0,0,0,0,0,0,0,0,0,0,0,224,0,18,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,569,0,0,0,275,0,0,0,253,0,0,0,105,0,0,0,150,0,0,0,0,0,0,0,54,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
10.03.2022 17:00 - 18:00,f,f,185,0,360,0,0,0,149,0,4,0,439,0,0,0,45,0,7,0,f,f,0,0,308,0,0,0,0,0,0,0,0,0,0,0,224,0,18,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,578,0,0,0,279,0,0,0,244,0,0,0,106,0,0,0,151,0,0,0,0,0,0,0,55,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
